merchant_id,merchant_name,category,city,merchant_size,onboarding_date
M0422,Merchant_0422,Utilities,Mumbai,Large,2022-01-28
M0423,Merchant_0423,Grocery,Jaipur,Small,2026-04-01
M0424,Merchant_0424,Food,Ahmedabad,Medium,2024-03-20
M0425,Merchant_0425,Grocery,Lucknow,Small,2022-09-29
M0426,Merchant_0426,Food,Pune,Small,2025-01-28
M0427,Merchant_0427,Food,Hyderabad,Small,2025-05-12
M0428,Merchant_0428,Retail,Mumbai,Small,2022-07-09
M0429,Merchant_0429,Utilities,Jaipur,Small,2023-06-30
M0430,Merchant_0430,Travel,Ahmedabad,Small,2022-10-21
M0431,Merchant_0431,Travel,Delhi,Small,2024-04-27
M0432,Merchant_0432,Grocery,Hyderabad,Small,2025-09-29
M0433,Merchant_0433,Fuel,Hyderabad,Small,2024-02-10
M0434,Merchant_0434,Travel,Kolkata,Large,2024-02-08
M0435,Merchant_0435,Fuel,Bengaluru,Medium,2022-02-22
M0436,Merchant_0436,Grocery,Ahmedabad,Small,2023-11-15
M0437,Merchant_0437,Fuel,Kolkata,Large,2024-12-06
M0438,Merchant_0438,Food,Lucknow,Small,2024-10-07
M0439,Merchant_0439,Food,Hyderabad,Small,2025-12-16
M0440,Merchant_0440,Grocery,Jaipur,Small,2023-12-04
M0441,Merchant_0441,Fuel,Chennai,Small,2024-06-01
M0442,Merchant_0442,Entertainment,Bengaluru,Medium,2023-04-10
M0443,Merchant_0443,Entertainment,Kolkata,Large,2023-07-07
M0444,Merchant_0444,Entertainment,Chennai,Small,2024-07-05
M0445,Merchant_0445,Utilities,Ahmedabad,Small,2025-12-23
M0446,Merchant_0446,Utilities,Pune,Small,2024-10-04
M0447,Merchant_0447,Fuel,Chennai,Small,2025-11-21
M0448,Merchant_0448,Grocery,Mumbai,Medium,2022-07-13
M0449,Merchant_0449,Utilities,Ahmedabad,Medium,2022-03-07
M0450,Merchant_0450,Travel,Mumbai,Small,2023-07-09
M0451,Merchant_0451,Retail,Bengaluru,Medium,2023-08-24
M0452,Merchant_0452,Entertainment,Delhi,Small,2026-02-08
M0453,Merchant_0453,Travel,Chennai,Large,2024-11-15
M0454,Merchant_0454,E-commerce,Ahmedabad,Small,2025-01-27
M0455,Merchant_0455,Retail,Ahmedabad,Medium,2023-04-21
M0456,Merchant_0456,Fuel,Kolkata,Small,2023-07-27
M0457,Merchant_0457,Retail,Kolkata,Small,2024-02-01
M0458,Merchant_0458,Utilities,Ahmedabad,Medium,2024-06-05
M0459,Merchant_0459,Retail,Pune,Small,2024-04-09
M0460,Merchant_0460,Fuel,Bengaluru,Large,2022-03-23
M0461,Merchant_0461,Food,Delhi,Small,2025-11-22
M0462,Merchant_0462,Retail,Bengaluru,Large,2023-12-01
M0463,Merchant_0463,Utilities,Bengaluru,Large,2025-11-17
M0464,Merchant_0464,Utilities,Kolkata,Small,2022-02-13
M0465,Merchant_0465,Entertainment,Mumbai,Small,2024-04-03
M0466,Merchant_0466,Grocery,Kolkata,Medium,2026-02-10
M0467,Merchant_0467,Travel,Chennai,Small,2023-09-02
M0468,Merchant_0468,Fuel,Lucknow,Medium,2025-01-19
M0469,Merchant_0469,Fuel,Delhi,Small,2025-09-14
M0470,Merchant_0470,Retail,Lucknow,Medium,2025-12-08
M0471,Merchant_0471,Food,Mumbai,Small,2023-12-21
M0472,Merchant_0472,Food,Jaipur,Medium,2023-11-22
M0473,Merchant_0473,Travel,Delhi,Small,2023-11-30
M0474,Merchant_0474,Travel,Hyderabad,Medium,2024-04-16
M0475,Merchant_0475,Utilities,Jaipur,Small,2022-04-20
M0476,Merchant_0476,Food,Jaipur,Small,2022-08-07
M0477,Merchant_0477,E-commerce,Mumbai,Large,2023-04-08
M0478,Merchant_0478,Food,Delhi,Medium,2024-05-09
M0479,Merchant_0479,Food,Delhi,Large,2023-05-30
M0480,Merchant_0480,Retail,Delhi,Small,2026-04-26
M0481,Merchant_0481,Utilities,Ahmedabad,Medium,2023-09-29
M0482,Merchant_0482,Grocery,Ahmedabad,Medium,2025-07-04
M0483,Merchant_0483,Travel,Lucknow,Medium,2025-05-01
M0484,Merchant_0484,E-commerce,Ahmedabad,Small,2023-09-19
M0485,Merchant_0485,E-commerce,Hyderabad,Small,2022-03-11
M0486,Merchant_0486,Entertainment,Ahmedabad,Large,2023-04-04
M0487,Merchant_0487,Fuel,Kolkata,Small,2025-11-06
M0488,Merchant_0488,Food,Ahmedabad,Large,2026-02-26
M0489,Merchant_0489,Food,Mumbai,Small,2022-04-07
M0490,Merchant_0490,Entertainment,Bengaluru,Large,2022-08-12
M0491,Merchant_0491,Grocery,Lucknow,Medium,2024-04-10
M0492,Merchant_0492,Utilities,Chennai,Medium,2025-07-28
M0493,Merchant_0493,Food,Mumbai,Small,2025-09-18
M0494,Merchant_0494,Entertainment,Hyderabad,Large,2023-10-03
M0495,Merchant_0495,Travel,Jaipur,Small,2026-06-23
M0496,Merchant_0496,E-commerce,Kolkata,Medium,2025-11-29
M0497,Merchant_0497,Food,Mumbai,Small,2023-05-11
M0498,Merchant_0498,Grocery,Chennai,Medium,2025-04-24
M0499,Merchant_0499,Entertainment,Chennai,Medium,2024-11-27
M0500,Merchant_0500,Retail,Delhi,Small,2024-02-08
